keys,en,it,de,fr
Threat Up,Threat Up,Minaccia aumentata,Bedrohung erhöht,Menace augmentée
"Adds the displayed Threat, making direct enemy attacks more likely to choose this entity.","Adds the displayed Threat, making direct enemy attacks more likely to choose this entity.","Aggiunge la Minaccia mostrata, rendendo più probabile che gli attacchi diretti dei nemici scelgano questa entità.","Fügt die angezeigte Bedrohung hinzu, wodurch direkte Gegnerangriffe dieses Wesen eher wählen.","Ajoute la Menace affichée, ce qui rend les attaques directes des ennemis plus susceptibles de choisir cette entité."
Intercept,Intercept,Intercettazione,Abfangen,Interception
Redirects direct enemy attacks from allies to this entity while active.,Redirects direct enemy attacks from allies to this entity while active.,"Finché è attiva, reindirizza gli attacchi diretti dei nemici dagli alleati a questa entità.","Lenkt direkte Gegnerangriffe von Verbündeten auf dieses Wesen um, solange der Effekt aktiv ist.","Tant qu'elle est active, redirige les attaques directes des ennemis des alliés vers cette entité."
Momentum,Momentum,Slancio,Schwung,Élan
Increases outgoing damage as a class passive builds momentum during the encounter.,Increases outgoing damage as a class passive builds momentum during the encounter.,Aumenta i danni inflitti man mano che una passiva di classe accumula slancio durante lo scontro.,"Erhöht den ausgeteilten Schaden, während eine Klassenpassive im Verlauf der Begegnung Schwung aufbaut.",Augmente les dégâts infligés à mesure qu'une passive de classe accumule de l'Élan pendant la rencontre.
Attack Down,Attack Down,Attacco ridotto,Angriff verringert,Attaque réduite
Reduces the damage of this entity's basic attacks and damaging skills by the displayed percentage.,Reduces the damage of this entity's basic attacks and damaging skills by the displayed percentage.,Riduce della percentuale mostrata i danni degli attacchi base e delle abilità offensive di questa entità.,Verringert den Schaden der Standardangriffe und schädigenden Fähigkeiten dieses Wesens um den angezeigten Prozentsatz.,Réduit les dégâts des attaques de base et des compétences offensives de cette entité du pourcentage affiché.
Vulnerability,Vulnerability,Vulnerabilità,Verwundbarkeit,Vulnérabilité
Increases direct damage and DoT received by the displayed percentage.,Increases direct damage and DoT received by the displayed percentage.,Aumenta i danni diretti e il DoT subiti della percentuale mostrata.,Erhöht den erlittenen direkten Schaden und DoT um den angezeigten Prozentsatz.,Augmente les dégâts directs et le DoT subis du pourcentage affiché.
Increases damage received as Veyra's Eye observes distinct party attack types.,Increases damage received as Veyra's Eye observes distinct party attack types.,Aumenta i danni subiti man mano che l'Occhio di Veyra osserva tipi di attacco distinti del gruppo.,"Erhöht den erlittenen Schaden, während Veyras Auge unterschiedliche Angriffsarten der Gruppe beobachtet.",Augmente les dégâts subis à mesure que l'Œil de Veyra observe des types d'attaque distincts du groupe.
Increases damage received after fulfilling the current Echo law's counterplay condition.,Increases damage received after fulfilling the current Echo law's counterplay condition.,Aumenta i danni subiti dopo aver soddisfatto la condizione di contrasto della legge dell'Eco attuale.,"Erhöht den erlittenen Schaden, nachdem die Gegenspiel-Bedingung des aktuellen Echo-Gesetzes erfüllt wurde.",Augmente les dégâts subis après avoir rempli la condition de contre de la loi d'Écho actuelle.
DoT,DoT,DoT,DoT,DoT
"Deals the displayed damage at the start of each turn. It bypasses Defense and Magic Defense, but Vulnerability increases it and barriers absorb it.","Deals the displayed damage at the start of each turn. It bypasses Defense and Magic Defense, but Vulnerability increases it and barriers absorb it.","Infligge i danni mostrati all'inizio di ogni turno. Ignora Difesa e Difesa magica, ma Vulnerabilità li aumenta e le barriere li assorbono.","Verursacht zu Beginn jedes Zuges den angezeigten Schaden. Er umgeht Verteidigung und Magieverteidigung, wird aber durch Verwundbarkeit erhöht und von Barrieren absorbiert.","Inflige les dégâts affichés au début de chaque tour. Ils ignorent la Défense et la Défense magique, mais la Vulnérabilité les augmente et les barrières les absorbent."
Silence,Silence,Silenzio,Stille,Silence
Prevents an active skill from being used while this status remains.,Prevents an active skill from being used while this status remains.,Impedisce l'uso di un'abilità attiva finché questo stato permane.,"Verhindert den Einsatz einer aktiven Fähigkeit, solange dieser Zustand anhält.",Empêche l'utilisation d'une compétence active tant que cet état persiste.
Evade Down,Evade Down,Schivata ridotta,Ausweichen verringert,Esquive réduite
Reduces the chance to evade direct attacks and damaging skills by the displayed percentage points.,Reduces the chance to evade direct attacks and damaging skills by the displayed percentage points.,Riduce la probabilità di eludere gli attacchi diretti e le abilità dannose dei punti percentuali mostrati.,"Verringert die Chance, direkten Angriffen und schädigenden Fähigkeiten auszuweichen, um die angezeigten Prozentpunkte.",Réduit la chance d'esquiver les attaques directes et les compétences offensives du nombre de points de pourcentage affiché.
Healing Reduction,Healing Reduction,Riduzione delle cure,Heilungsminderung,Réduction des soins
"Reduces all healing received by the displayed percentage, up to a 95% reduction.","Reduces all healing received by the displayed percentage, up to a 95% reduction.","Riduce tutte le cure ricevute della percentuale mostrata, fino a una riduzione massima del 95%.","Verringert alle erhaltene Heilung um den angezeigten Prozentsatz, bis zu einer Minderung von 95%.","Réduit tous les soins reçus du pourcentage affiché, jusqu'à une réduction de 95%."
Root Linked,Root Linked,Legame radicale,Wurzelbindung,Lié aux racines
"Each living Root Node grants this enemy +4 Defense and +1% damage. The network restores 3% maximum HP per node when it acts, capped at 9%.","Each living Root Node grants this enemy +4 Defense and +1% damage. The network restores 3% maximum HP per node when it acts, capped at 9%.","Ogni Nodo Radice vivente conferisce a questo nemico +4 Difesa e +1% ai danni. Quando agisce, la rete ripristina il 3% dei PV massimi per nodo, fino a un massimo del 9%.","Jeder lebende Wurzelknoten gewährt diesem Gegner +4 Verteidigung und +1% Schaden. Wenn das Netzwerk handelt, stellt es 3% der maximalen LP pro Knoten wieder her, höchstens 9%.","Chaque Nœud racinaire vivant confère à cet ennemi +4 Défense et +1% de dégâts. Lorsqu'il agit, le réseau restaure 3% des PV maximum par nœud, dans la limite de 9%."
Barrier Cooldown,Barrier Cooldown,Recupero barriera,Barriere-Abklingzeit,Recharge de barrière
This entity's low-health barrier cannot trigger again until the timer expires.,This entity's low-health barrier cannot trigger again until the timer expires.,La barriera di questa entità a salute ridotta non può attivarsi di nuovo finché il tempo di recupero non termina.,"Die Barriere dieses Wesens bei niedrigem Leben kann erst wieder auslösen, wenn die Abklingzeit abgelaufen ist.",La barrière de basse Vie de cette entité ne peut pas se redéclencher avant la fin du délai.
A temporary combat effect.,A temporary combat effect.,Un effetto di combattimento temporaneo.,Ein zeitweiliger Kampfeffekt.,Un effet de combat temporaire.
Buff,Buff,Potenziamento,Buff,Amélioration
Debuff,Debuff,Penalità,Debuff,Affaiblissement
Special,Special,Speciale,Spezial,Spécial
The Stalwart,The Stalwart,Il Tenace,Der Standhafte,L'Inébranlable
Defense,Defense,Difesa,Verteidigung,Défense
A steadfast hero who gains +10 Defense.,A steadfast hero who gains +10 Defense.,Un eroe risoluto che ottiene +10 Difesa.,"Ein standhafter Held, der +10 Verteidigung erhält.",Un héros résolu qui gagne +10 Défense.
The Warded,The Warded,Il Protetto,Der Beschirmte,Le Protégé
Magic Defense,Magic Defense,Difesa magica,Magieverteidigung,Défense magique
A mystically protected hero who gains +10 Magic Defense.,A mystically protected hero who gains +10 Magic Defense.,Un eroe protetto dalla magia che ottiene +10 Difesa magica.,"Ein mystisch geschützter Held, der +10 Magieverteidigung erhält.",Un héros protégé par la magie qui gagne +10 Défense magique.
The Nimble,The Nimble,L'Agile,Der Flinke,L'Agile
Evade,Evade,Schivata,Ausweichen,Esquive
A light-footed hero who gains +10 Evade.,A light-footed hero who gains +10 Evade.,Un eroe dal passo leggero che ottiene +10 Schivata.,"Ein leichtfüßiger Held, der +10 Ausweichen erhält.",Un héros au pied léger qui gagne +10 Esquive.
Keen-Eyed,Keen-Eyed,Occhio di falco,Scharfäugig,Œil aiguisé
Critical Chance,Critical Chance,Probabilità critica,Kritische Chance,Chance critique
A sharp-eyed hero who gains +10 Critical Chance.,A sharp-eyed hero who gains +10 Critical Chance.,Un eroe dallo sguardo acuto che ottiene +10 Probabilità di colpo critico.,"Ein scharfäugiger Held, der +10 Kritische Chance erhält.",Un héros à l'œil vif qui gagne +10 Chance critique.
The Vigorous,The Vigorous,Il Vigoroso,Der Kräftige,Le Vigoureux
Health,Health,Salute,Leben,Vie
A remarkably hardy hero who gains +10% Health.,A remarkably hardy hero who gains +10% Health.,Un eroe straordinariamente robusto che ottiene +10% Salute.,"Ein bemerkenswert zäher Held, der +10% Leben erhält.",Un héros remarquablement robuste qui gagne +10% Vie.
The Forceful,The Forceful,Il Possente,Der Wuchtige,Le Vigoureux
Attack,Attack,Attacco,Angriff,Attaque
A naturally powerful hero who gains +10% Attack.,A naturally powerful hero who gains +10% Attack.,Un eroe naturalmente potente che ottiene +10% Attacco.,"Ein von Natur aus kraftvoller Held, der +10% Angriff erhält.",Un héros naturellement puissant qui gagne +10% Attaque.
Foundation,Foundation,Fondamenta,Fundament,Fondation
Awakening,Awakening,Risveglio,Erwachen,Éveil
Mastery,Mastery,Maestria,Meisterschaft,Maîtrise
Capstone,Capstone,Coronamento,Gipfel,Apogée
"Hits the strongest enemy for 50% Attack damage, applies -9% Attack to all enemies, then gains +10 Threat and Intercept for 3 turns.","Hits the strongest enemy for 50% Attack damage, applies -9% Attack to all enemies, then gains +10 Threat and Intercept for 3 turns.","Colpisce il nemico più forte infliggendo il 50% dell'Attacco come danni, applica -9% Attacco a tutti i nemici, poi ottiene +10 Minaccia e Intercettazione per 3 turni.","Trifft den stärksten Gegner für 50% Angriff als Schaden, wendet bei allen Gegnern -9% Angriff an und erhält dann +10 Bedrohung und Abfangen für 3 Züge.","Frappe l'ennemi le plus fort pour 50% Attaque en dégâts, applique -9% Attaque à tous les ennemis, puis gagne +10 Menace et Interception pendant 3 tours."
Heals the weakest ally for 150% Attack and grants it +28 Defense and +20 Immunity for 3 turns.,Heals the weakest ally for 150% Attack and grants it +28 Defense and +20 Immunity for 3 turns.,Cura l'alleato più debole per il 150% dell'Attacco e gli concede +28 Difesa e +20 Immunità per 3 turni.,Heilt den schwächsten Verbündeten um 150% Angriff und gewährt ihm +28 Verteidigung und +20 Immunität für 3 Züge.,Soigne l'allié le plus faible de 150% Attaque et lui accorde +28 Défense et +20 Immunité pendant 3 tours.
"Hits one random enemy for 155% Attack damage, then gains +15% Damage for 3 turns.","Hits one random enemy for 155% Attack damage, then gains +15% Damage for 3 turns.","Colpisce un nemico casuale infliggendo il 155% dell'Attacco come danni, poi ottiene +15% Danni per 3 turni.",Trifft einen zufälligen Gegner für 155% Angriff als Schaden und erhält dann +15% Schaden für 3 Züge.,"Frappe un ennemi au hasard pour 155% Attaque en dégâts, puis gagne +15% Dégâts pendant 3 tours."
"Costs 18% of maximum Health; hits one random enemy 3 times for 77% Attack damage per hit with +37 Critical Chance, then applies 18% Vulnerability for 3 turns.","Costs 18% of maximum Health; hits one random enemy 3 times for 77% Attack damage per hit with +37 Critical Chance, then applies 18% Vulnerability for 3 turns.","Costa il 18% dei PV massimi; colpisce un nemico casuale 3 volte, ciascuna per il 77% dell'Attacco con +37 Probabilità critica, poi applica il 18% di Vulnerabilità per 3 turni.",Kostet 18% der maximalen LP; trifft einen zufälligen Gegner 3-mal für je 77% Angriff als Schaden mit +37 Kritischer Chance und wendet dann 3 Züge lang 18% Verwundbarkeit an.,"Coûte 18% des PV max ; frappe un ennemi au hasard 3 fois pour 77% Attaque en dégâts par coup avec +37 Chance critique, puis applique 18% de Vulnérabilité pendant 3 tours."
"Costs 20% of maximum Health; hits every enemy 3 times for 52% Attack damage per hit (72% on the primary target), and heals for 30% of the damage dealt.","Costs 20% of maximum Health; hits every enemy 3 times for 52% Attack damage per hit (72% on the primary target), and heals for 30% of the damage dealt.","Costa il 20% dei PV massimi; colpisce ogni nemico 3 volte, ciascuna per il 52% dell'Attacco (72% sul bersaglio principale), e si cura del 30% dei danni inflitti.",Kostet 20% der maximalen LP; trifft jeden Gegner 3-mal für je 52% Angriff als Schaden (72% beim Hauptziel) und heilt um 30% des verursachten Schadens.,Coûte 20% des PV max ; frappe chaque ennemi 3 fois pour 52% Attaque en dégâts par coup (72% sur la cible principale) et soigne de 30% des dégâts infligés.
"Hits the strongest enemy for 65% Attack damage and applies -30% Attack, then gains +30 Magic Defense and +50 Counter Chance for 3 turns.","Hits the strongest enemy for 65% Attack damage and applies -30% Attack, then gains +30 Magic Defense and +50 Counter Chance for 3 turns.","Colpisce il nemico più forte infliggendo il 65% dell'Attacco come danni e applica -30% Attacco, poi ottiene +30 Difesa magica e +50 Probabilità di contrattacco per 3 turni.",Trifft den stärksten Gegner für 65% Angriff als Schaden und wendet -30% Angriff an; erhält dann +30 Magieverteidigung und +50 Konterchance für 3 Züge.,"Frappe l'ennemi le plus fort pour 65% Attaque en dégâts et applique -30% Attaque, puis gagne +30 Défense magique et +50 Chance de riposte pendant 3 tours."
"Costs 5% of maximum Health; hits one random enemy for 186% Attack damage with a guaranteed critical hit, then gains +57% Damage for 3 turns.","Costs 5% of maximum Health; hits one random enemy for 186% Attack damage with a guaranteed critical hit, then gains +57% Damage for 3 turns.","Costa il 5% dei PV massimi; colpisce un nemico casuale infliggendo il 186% dell'Attacco come danni con un colpo critico garantito, poi ottiene +57% Danni per 3 turni.",Kostet 5% der maximalen LP; trifft einen zufälligen Gegner für 186% Angriff als Schaden mit garantiert kritischem Treffer und erhält dann +57% Schaden für 3 Züge.,"Coûte 5% des PV max ; frappe un ennemi au hasard pour 186% Attaque en dégâts avec un coup critique garanti, puis gagne +57% Dégâts pendant 3 tours."
"Hits the strongest enemy for 160% Attack damage with +37 Critical Chance on this hit, then gains +11 Evade for 3 turns.","Hits the strongest enemy for 160% Attack damage with +37 Critical Chance on this hit, then gains +11 Evade for 3 turns.","Colpisce il nemico più forte infliggendo il 160% dell'Attacco come danni con +37 Probabilità critica su questo colpo, poi ottiene +11 Schivata per 3 turni.",Trifft den stärksten Gegner für 160% Angriff als Schaden mit +37 Kritischer Chance bei diesem Treffer und erhält dann +11 Ausweichen für 3 Züge.,"Frappe l'ennemi le plus fort pour 160% Attaque en dégâts avec +37 Chance critique sur ce coup, puis gagne +11 Esquive pendant 3 tours."
"Hits the weakest enemy for 108% Attack damage with a guaranteed critical hit, gaining up to +241% Attack as its Health falls.","Hits the weakest enemy for 108% Attack damage with a guaranteed critical hit, gaining up to +241% Attack as its Health falls.","Colpisce il nemico più debole infliggendo il 108% dell'Attacco come danni con un colpo critico garantito, guadagnando fino a +241% Attacco man mano che la sua Salute scende.","Trifft den schwächsten Gegner mit einem garantierten kritischen Treffer für 108% Angriff als Schaden und gewinnt bis zu +241% Angriff, je weiter dessen Leben sinkt.","Frappe l'ennemi le plus faible pour 108% Attaque en dégâts d'un coup critique garanti, gagnant jusqu'à +241% Attaque à mesure que sa Vie descend."
"Hits the strongest enemy 2 times for 95% Attack damage per hit with +45 Critical Chance, applies 15% Vulnerability for 3 turns, and Silences it for 1 turn.","Hits the strongest enemy 2 times for 95% Attack damage per hit with +45 Critical Chance, applies 15% Vulnerability for 3 turns, and Silences it for 1 turn.","Colpisce il nemico più forte 2 volte, ciascuna per il 95% dell'Attacco con +45 Probabilità critica, applica il 15% di Vulnerabilità per 3 turni e lo mette a Silenzio per 1 turno.","Trifft den stärksten Gegner 2-mal für je 95% Angriff als Schaden mit +45 Kritischer Chance, wendet 3 Züge lang 15% Verwundbarkeit an und belegt ihn 1 Zug lang mit Stille.","Frappe l'ennemi le plus fort 2 fois pour 95% Attaque en dégâts par coup avec +45 Chance critique, applique 15% de Vulnérabilité pendant 3 tours et le frappe de Silence pendant 1 tour."
Applies 18% Vulnerability and -8% Attack to every enemy for 3 turns.,Applies 18% Vulnerability and -8% Attack to every enemy for 3 turns.,Applica il 18% di Vulnerabilità e -8% Attacco a ogni nemico per 3 turni.,Belegt jeden Gegner 3 Züge lang mit 18% Verwundbarkeit und -8% Angriff.,Applique 18% de Vulnérabilité et -8% Attaque à chaque ennemi pendant 3 tours.
"Hits the strongest enemy for 196% Attack damage with a guaranteed critical hit and applies 12% Vulnerability, then gains +25 Evade for 3 turns.","Hits the strongest enemy for 196% Attack damage with a guaranteed critical hit and applies 12% Vulnerability, then gains +25 Evade for 3 turns.","Colpisce il nemico più forte infliggendo il 196% dell'Attacco come danni con un colpo critico garantito e applica il 12% di Vulnerabilità, poi ottiene +25 Schivata per 3 turni.",Trifft den stärksten Gegner für 196% Angriff als Schaden mit garantiert kritischem Treffer und wendet 12% Verwundbarkeit an; erhält dann +25 Ausweichen für 3 Züge.,"Frappe l'ennemi le plus fort pour 196% Attaque en dégâts d'un coup critique garanti et applique 12% de Vulnérabilité, puis gagne +25 Esquive pendant 3 tours."
"Hits the strongest enemy 3 times for 60% Attack damage per hit, then gains +12 Critical Chance for 3 turns.","Hits the strongest enemy 3 times for 60% Attack damage per hit, then gains +12 Critical Chance for 3 turns.","Colpisce il nemico più forte 3 volte, ciascuna per il 60% dell'Attacco, poi ottiene +12 Probabilità critica per 3 turni.",Trifft den stärksten Gegner 3-mal für je 60% Angriff als Schaden und erhält dann +12 Kritische Chance für 3 Züge.,"Frappe l'ennemi le plus fort 3 fois pour 60% Attaque en dégâts par coup, puis gagne +12 Chance critique pendant 3 tours."
"Hits the strongest enemy 3 times for 54% Attack damage per hit with +28 Critical Chance, ignoring 42% Defense, then applies -18% Attack for 3 turns.","Hits the strongest enemy 3 times for 54% Attack damage per hit with +28 Critical Chance, ignoring 42% Defense, then applies -18% Attack for 3 turns.","Colpisce il nemico più forte 3 volte, ciascuna per il 54% dell'Attacco con +28 Probabilità critica, ignorando il 42% della Difesa, poi applica -18% Attacco per 3 turni.","Trifft den stärksten Gegner 3-mal für je 54% Angriff als Schaden mit +28 Kritischer Chance, ignoriert 42% Verteidigung und wendet dann 3 Züge lang -18% Angriff an.","Frappe l'ennemi le plus fort 3 fois pour 54% Attaque en dégâts par coup avec +28 Chance critique, en ignorant 42% de la Défense, puis applique -18% Attaque pendant 3 tours."
"Hits every enemy 3 times for 28% Attack damage per hit, ignoring 37% Defense, then applies 12% Vulnerability for 3 turns.","Hits every enemy 3 times for 28% Attack damage per hit, ignoring 37% Defense, then applies 12% Vulnerability for 3 turns.","Colpisce ogni nemico 3 volte, ciascuna per il 28% dell'Attacco, ignorando il 37% della Difesa, poi applica il 12% di Vulnerabilità per 3 turni.","Trifft jeden Gegner 3-mal für je 28% Angriff als Schaden, ignoriert 37% Verteidigung und wendet dann 3 Züge lang 12% Verwundbarkeit an.","Frappe chaque ennemi 3 fois pour 28% Attaque en dégâts par coup, en ignorant 37% de la Défense, puis applique 12% de Vulnérabilité pendant 3 tours."
"Hits every enemy 3 times for 14% Attack damage per hit and applies -15% Attack, then gains +22 Defense for 3 turns.","Hits every enemy 3 times for 14% Attack damage per hit and applies -15% Attack, then gains +22 Defense for 3 turns.","Colpisce ogni nemico 3 volte, ciascuna per il 14% dell'Attacco, e applica -15% Attacco, poi ottiene +22 Difesa per 3 turni.",Trifft jeden Gegner 3-mal für je 14% Angriff als Schaden und wendet -15% Angriff an; erhält dann +22 Verteidigung für 3 Züge.,"Frappe chaque ennemi 3 fois pour 14% Attaque en dégâts par coup et applique -15% Attaque, puis gagne +22 Défense pendant 3 tours."
"Hits every enemy 3 times for 32% Attack damage per hit with +45 Critical Chance, then gains +48 Defense for 3 turns.","Hits every enemy 3 times for 32% Attack damage per hit with +45 Critical Chance, then gains +48 Defense for 3 turns.","Colpisce ogni nemico 3 volte, ciascuna per il 32% dell'Attacco con +45 Probabilità critica, poi ottiene +48 Difesa per 3 turni.",Trifft jeden Gegner 3-mal für je 32% Angriff als Schaden mit +45 Kritischer Chance und erhält dann +48 Verteidigung für 3 Züge.,"Frappe chaque ennemi 3 fois pour 32% Attaque en dégâts par coup avec +45 Chance critique, puis gagne +48 Défense pendant 3 tours."
"Heals the weakest ally for 150% Attack and cleanses its harmful statuses, then heals the whole party for 17% Attack.","Heals the weakest ally for 150% Attack and cleanses its harmful statuses, then heals the whole party for 17% Attack.","Cura l'alleato più debole per il 150% dell'Attacco e ne rimuove gli stati nocivi, poi cura l'intero gruppo per il 17% dell'Attacco.","Heilt den schwächsten Verbündeten um 150% Angriff und reinigt seine schädlichen Status, dann heilt es die gesamte Gruppe um 17% Angriff.","Soigne l'allié le plus faible de 150% Attaque et purifie ses statuts néfastes, puis soigne tout le groupe de 17% Attaque."
"Heals every ally for 42% Attack, cleanses their harmful statuses, and grants the whole party +6 Immunity for 3 turns.","Heals every ally for 42% Attack, cleanses their harmful statuses, and grants the whole party +6 Immunity for 3 turns.","Cura ogni alleato per il 42% dell'Attacco, rimuove i loro stati nocivi e concede all'intero gruppo +6 Immunità per 3 turni.","Heilt jeden Verbündeten um 42% Angriff, reinigt deren schädliche Status und gewährt der gesamten Gruppe +6 Immunität für 3 Züge.","Soigne chaque allié de 42% Attaque, purifie leurs statuts néfastes et accorde à tout le groupe +6 Immunité pendant 3 tours."
"Revives one fallen ally at 60% Health; if none has fallen, heals the weakest ally for 140% Attack. Either way, cleanses that ally's harmful statuses.","Revives one fallen ally at 60% Health; if none has fallen, heals the weakest ally for 140% Attack. Either way, cleanses that ally's harmful statuses.","Rianima un alleato caduto al 60% dei PV; se nessuno è caduto, cura l'alleato più debole per il 140% dell'Attacco. In ogni caso, ne rimuove gli stati nocivi.","Belebt einen gefallenen Verbündeten mit 60% LP wieder; ist niemand gefallen, heilt es den schwächsten Verbündeten um 140% Angriff. In beiden Fällen reinigt es dessen schädliche Status.","Ranime un allié tombé à 60% de ses PV ; si personne n'est tombé, soigne l'allié le plus faible de 140% Attaque. Dans les deux cas, purifie ses statuts néfastes."
"Hits the strongest enemy for 45% Attack damage, removes its buffs, and applies 38% Vulnerability for 3 turns; heals the whole party for 6% Attack.","Hits the strongest enemy for 45% Attack damage, removes its buffs, and applies 38% Vulnerability for 3 turns; heals the whole party for 6% Attack.","Colpisce il nemico più forte infliggendo il 45% dell'Attacco come danni, rimuove i suoi potenziamenti e applica il 38% di Vulnerabilità per 3 turni; cura l'intero gruppo per il 6% dell'Attacco.","Trifft den stärksten Gegner für 45% Angriff als Schaden, entfernt seine Buffs und wendet 3 Züge lang 38% Verwundbarkeit an; heilt die gesamte Gruppe um 6% Angriff.","Frappe l'ennemi le plus fort pour 45% Attaque en dégâts, retire ses améliorations et applique 38% de Vulnérabilité pendant 3 tours ; soigne tout le groupe de 6% Attaque."
"Hits the strongest enemy for 189% Attack damage, ignoring 43% Defense, and Silences it for 1 turn; heals the whole party for 11% Attack.","Hits the strongest enemy for 189% Attack damage, ignoring 43% Defense, and Silences it for 1 turn; heals the whole party for 11% Attack.","Colpisce il nemico più forte infliggendo il 189% dell'Attacco come danni, ignorando il 43% della Difesa, e lo mette a Silenzio per 1 turno; cura l'intero gruppo per l'11% dell'Attacco.","Trifft den stärksten Gegner für 189% Angriff als Schaden, ignoriert 43% Verteidigung und belegt ihn 1 Zug lang mit Stille; heilt die gesamte Gruppe um 11% Angriff.","Frappe l'ennemi le plus fort pour 189% Attaque en dégâts, en ignorant 43% de la Défense, et le frappe de Silence pendant 1 tour ; soigne tout le groupe de 11% Attaque."
Hits every enemy for 70% Attack damage; the primary target takes +48% Attack damage (118% total).,Hits every enemy for 70% Attack damage; the primary target takes +48% Attack damage (118% total).,Colpisce ogni nemico infliggendo il 70% dell'Attacco come danni; il bersaglio principale subisce +48% Attacco (118% totale).,Trifft jeden Gegner für 70% Angriff als Schaden; das Hauptziel erleidet +48% Angriff als Schaden (118% insgesamt).,Frappe chaque ennemi pour 70% Attaque en dégâts ; la cible principale subit +48% Attaque en dégâts (118% au total).
"Hits one random enemy for 230% Attack damage, then applies one random element for 3 turns: -15% Attack, 12% Vulnerability, or -15 Evade.","Hits one random enemy for 230% Attack damage, then applies one random element for 3 turns: -15% Attack, 12% Vulnerability, or -15 Evade.","Colpisce un nemico casuale infliggendo il 230% dell'Attacco come danni, poi applica un elemento casuale per 3 turni: -15% Attacco, 12% Vulnerabilità o -15 Schivata.","Trifft einen zufälligen Gegner für 230% Angriff als Schaden und wendet dann 3 Züge lang ein zufälliges Element an: -15% Angriff, 12% Verwundbarkeit oder -15 Ausweichen.","Frappe un ennemi au hasard pour 230% Attaque en dégâts, puis applique un élément aléatoire pendant 3 tours : -15% Attaque, 12% Vulnérabilité ou -15 Esquive."
"Hits every enemy for 66% Attack damage and applies one random element for 3 turns: -15% Attack, 12% Vulnerability, or -15 Evade. Gains +12 Critical Chance and restores 12 mana to every ally.","Hits every enemy for 66% Attack damage and applies one random element for 3 turns: -15% Attack, 12% Vulnerability, or -15 Evade. Gains +12 Critical Chance and restores 12 mana to every ally.","Colpisce ogni nemico infliggendo il 66% dell'Attacco come danni e applica un elemento casuale per 3 turni: -15% Attacco, 12% Vulnerabilità o -15 Schivata. Ottiene +12 Probabilità critica e ripristina 12 mana a ogni alleato.","Trifft jeden Gegner für 66% Angriff als Schaden und wendet 3 Züge lang ein zufälliges Element an: -15% Angriff, 12% Verwundbarkeit oder -15 Ausweichen. Erhält +12 Kritische Chance und stellt jedem Verbündeten 12 Mana wieder her.","Frappe chaque ennemi pour 66% Attaque en dégâts et applique un élément aléatoire pendant 3 tours : -15% Attaque, 12% Vulnérabilité ou -15 Esquive. Gagne +12 Chance critique et restaure 12 mana à chaque allié."
"Hits the strongest enemy for 206% Attack damage, applies Silence for 1 turn, and restores 30 mana.","Hits the strongest enemy for 206% Attack damage, applies Silence for 1 turn, and restores 30 mana.","Colpisce il nemico più forte infliggendo il 206% dell'Attacco come danni, lo mette a Silenzio per 1 turno e ripristina 30 mana.","Trifft den stärksten Gegner für 206% Angriff als Schaden, belegt ihn 1 Zug lang mit Stille und stellt 30 Mana wieder her.","Frappe l'ennemi le plus fort pour 206% Attaque en dégâts, le frappe de Silence pendant 1 tour et restaure 30 mana."
Grants the whole party +14% Damage and +11 Critical Chance for 3 turns.,Grants the whole party +14% Damage and +11 Critical Chance for 3 turns.,Concede all'intero gruppo +14% Danni e +11 Probabilità critica per 3 turni.,Gewährt der gesamten Gruppe +14% Schaden und +11 Kritische Chance für 3 Züge.,Accorde à tout le groupe +14% Dégâts et +11 Chance critique pendant 3 tours.
"Heals the weakest ally for 150% Attack and grants it +32 Critical Chance for 3 turns, then restores 12 mana to every ally.","Heals the weakest ally for 150% Attack and grants it +32 Critical Chance for 3 turns, then restores 12 mana to every ally.","Cura l'alleato più debole per il 150% dell'Attacco e gli concede +32 Probabilità critica per 3 turni, poi ripristina 12 mana a ogni alleato.",Heilt den schwächsten Verbündeten um 150% Angriff und gewährt ihm +32 Kritische Chance für 3 Züge; stellt dann jedem Verbündeten 12 Mana wieder her.,"Soigne l'allié le plus faible de 150% Attaque et lui accorde +32 Chance critique pendant 3 tours, puis restaure 12 mana à chaque allié."
"Grants the whole party +13% Damage, +15 Critical Chance, and +15 Immunity, and applies 4% Vulnerability to every enemy. Lasts 3 turns.","Grants the whole party +13% Damage, +15 Critical Chance, and +15 Immunity, and applies 4% Vulnerability to every enemy. Lasts 3 turns.","Concede all'intero gruppo +13% Danni, +15 Probabilità critica e +15 Immunità e applica il 4% di Vulnerabilità a ogni nemico. Dura 3 turni.","Gewährt der gesamten Gruppe +13% Schaden, +15 Kritische Chance und +15 Immunität und wendet bei jedem Gegner 4% Verwundbarkeit an. Hält 3 Züge an.","Accorde à tout le groupe +13% Dégâts, +15 Chance critique et +15 Immunité, et applique 4% de Vulnérabilité à chaque ennemi. Dure 3 tours."
